name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
res_34095591-s-c,true,1,2,60,ld_34095591.3,0.24,1.28265512778,0.3214636769197852,0.5445700000000001,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34054980-s-a,true,1,2,60,ld_34054980.1,0.24,11.05896703649684,2.771638400292377,4.712713684210525,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10579845-s-c,true,1,2,60,ld_10579845.3,0.24,3.833213429340004,0.960693842581581,1.627446842105265,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10559393-s-a,true,1,2,60,ld_10559393.1,0.24,10.7458112987621,2.693154174314214,4.579264210526315,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34085493-s-a,true,1,2,60,ld_34085493.1,0.24,12.1572809334569,3.046901809826289,5.180753684210551,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34054974-s-b,true,1,2,60,ld_34054974.2,0.24,10.04115317733053,2.516550201990925,4.25226105263158,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10559386-s-a,true,1,2,60,ld_10559386.1,0.24,21.59961176387368,5.413372984889842,9.20454736842105,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10558477-s-c,true,1,2,60,ld_10558477.3,0.24,4.839568177679999,1.212910116995873,2.05470947368421,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10549223-s-b,true,1,2,60,ld_10549223.2,0.24,22.6563192715369,5.678208850341919,9.594573684210552,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10559057-s-a,true,1,2,60,ld_10559057.1,0.24,17.70778526248425,4.437989321756744,7.54606842105265,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10558215-s-c,true,1,2,60,ld_10558215.3,0.24,7.940616097139999,1.990105985864722,3.371304736842105,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34085402-s-b,true,1,2,60,ld_34085402.2,0.24,4.140732114690528,1.037765290060543,1.75353105263158,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34054962-s-a,true,1,2,60,ld_34054962.1,0.24,18.8392285500631,4.721555739240158,8.02822631578945,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10556736-s-a,true,1,2,60,ld_10556736.1,0.24,9.203855783949471,2.306703694600053,3.92216894736842,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10549013-s-b,true,1,2,60,ld_10549013.2,0.24,9.872689455734736,2.474329213512514,4.180919473684211,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_20456673-s-c,true,1,2,60,ld_20456673.3,0.24,15.23621478240002,3.81855537019299,6.468757894736851,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10579196-s-a,true,1,2,60,ld_10579196.1,0.24,2.061546235957897,0.5166721894280193,0.8785157894736851,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10558579-s-c,true,1,2,60,ld_10558579.3,0.24,7.881162003540005,1.975205385444041,3.34606263157895,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10548992-s-b,true,1,2,60,ld_10548992.2,0.24,22.73521381924207,5.697981687829516,9.627984210526302,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10545431-s-a,true,1,2,60,ld_10545431.1,0.24,11.74050569027368,2.942448087838913,5.00314736842105,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34086805-s-c,true,1,2,60,ld_34086805.3,0.24,5.555269763100002,1.392281842289358,2.35857105263158,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34085312-s-a,true,1,2,60,ld_34085312.1,0.24,19.07976986071574,4.781841074322657,8.13073157894735,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_20409718-s-c,true,1,2,60,ld_20409718.3,0.24,1.04960524608,0.2630558709129839,0.4456252631578946,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10549310-s-b,true,1,2,60,ld_10549310.2,0.24,14.66670521305264,3.675822817819168,6.2111052631579,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34086797-s-b,true,1,2,60,ld_34086797.2,0.24,8.586120471789473,2.151884631775393,3.63607894736842,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10573495-s-c,true,1,2,60,ld_10573495.3,0.24,13.03864470719999,3.267792393175634,5.53574736842105,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10549293-s-a,true,1,2,60,ld_10549293.1,0.24,8.793068137162102,2.20375060572257,3.747114210526315,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10548977-s-a,true,1,2,60,ld_10548977.1,0.24,5.65705958460631,1.417792776277562,2.410722631578945,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34085044-s-b,true,1,2,60,ld_34085044.2,0.24,4.200860000922103,1.052834758832613,1.778994210526315,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10571603-s-a,true,1,2,60,ld_10571603.1,0.24,20.651464512,5.175744884204478,8.8005,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10549287-s-b,true,1,2,60,ld_10549287.2,0.24,11.30075285306527,2.832235637958019,4.785680526315791,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10548962-s-b,true,1,2,60,ld_10548962.2,0.24,31.21085955338943,7.822178740457542,13.2172789473684,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10529606-s-a,true,1,2,60,ld_10529606.1,0.24,10.88011476560843,2.726813795938475,4.636496842105266,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34097394-s-a,true,1,2,60,ld_34097394.1,0.24,29.18704994829471,7.314964242227343,12.4378894736842,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34086384-s-c,true,1,2,60,ld_34086384.3,0.24,4.589635366440004,1.150271049998054,1.948596842105265,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10560401-s-b,true,1,2,60,ld_10560401.2,0.24,10.67430677917053,2.675233452456519,4.52039105263158,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10558553-s-a,true,1,2,60,ld_10558553.1,0.24,13.97470169936839,3.502390389154284,5.95523684210525,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
